2025-11-12 11:11:03.346879: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

========================================
 Verificando disponibilidad de GPU (PyTorch)...
========================================
✅ ¡Éxito! GPU disponible.
   Dispositivos encontrados: 1
   Usando dispositivo 0: NVIDIA GeForce RTX 2060 with Max-Q Design
  0%|          | 0/1000 [00:00<?, ?it/s]  0%|          | 1/1000 [00:02<38:36,  2.32s/it]  Episode 1, Step 10, Buffer Size: 10, Avg Loss: 0.0000, Reward: -427
  Episode 2, Step 210, Buffer Size: 1210, Avg Loss: 45.3004, Reward: -9968
  Episode 2, Step 220, Buffer Size: 1220, Avg Loss: 41.9500, Reward: -10307
  Episode 2, Step 230, Buffer Size: 1230, Avg Loss: 48.0534, Reward: -10745
  Episode 2, Step 240, Buffer Size: 1240, Avg Loss: 46.7326, Reward: -11403
  Episode 2, Step 250, Buffer Size: 1250, Avg Loss: 50.1364, Reward: -11929
  Episode 2, Step 260, Buffer Size: 1260, Avg Loss: 52.0409, Reward: -12290
  Episode 2, Step 270, Buffer Size: 1270, Avg Loss: 50.4899, Reward: -13036
  Episode 2, Step 280, Buffer Size: 1280, Avg Loss: 49.7013, Reward: -13606
  Episode 2, Step 290, Buffer Size: 1290, Avg Loss: 48.9196, Reward: -14066
  Episode 2, Step 300, Buffer Size: 1300, Avg Loss: 49.7032, Reward: -14713
  Episode 2, Step 310, Buffer Size: 1310, Avg Loss: 48.1297, Reward: -15162
  Episode 2, Step 320, Buffer Size: 1320, Avg Loss: 44.9342, Reward: -15743
  Episode 2, Step 330, Buffer Size: 1330, Avg Loss: 48.3712, Reward: -16324
  Episode 2, Step 340, Buffer Size: 1340, Avg Loss: 46.5042, Reward: -16784
  Episode 2, Step 350, Buffer Size: 1350, Avg Loss: 49.9496, Reward: -17321
  Episode 2, Step 360, Buffer Size: 1360, Avg Loss: 45.3793, Reward: -18177
  Episode 2, Step 370, Buffer Size: 1370, Avg Loss: 50.3276, Reward: -18736
  Episode 2, Step 380, Buffer Size: 1380, Avg Loss: 47.9846, Reward: -19174
  Episode 2, Step 390, Buffer Size: 1390, Avg Loss: 48.9538, Reward: -19931
  Episode 2, Step 400, Buffer Size: 1400, Avg Loss: 47.9328, Reward: -20589
  Episode 2, Step 410, Buffer Size: 1410, Avg Loss: 47.5337, Reward: -21137
  Episode 2, Step 420, Buffer Size: 1420, Avg Loss: 47.6110, Reward: -21696
  Episode 2, Step 430, Buffer Size: 1430, Avg Loss: 47.7082, Reward: -22343
  Episode 2, Step 440, Buffer Size: 1440, Avg Loss: 46.0931, Reward: -22506
  Episode 2, Step 450, Buffer Size: 1450, Avg Loss: 49.9888, Reward: -23395
  Episode 2, Step 460, Buffer Size: 1460, Avg Loss: 47.6418, Reward: -23701
  Episode 2, Step 470, Buffer Size: 1470, Avg Loss: 48.4919, Reward: -24117
  Episode 2, Step 480, Buffer Size: 1480, Avg Loss: 48.2726, Reward: -24863
  Episode 2, Step 490, Buffer Size: 1490, Avg Loss: 49.3346, Reward: -25422
  Episode 2, Step 500, Buffer Size: 1500, Avg Loss: 42.7640, Reward: -25992
  Episode 2, Step 510, Buffer Size: 1510, Avg Loss: 48.0186, Reward: -26441
  Episode 2, Step 520, Buffer Size: 1520, Avg Loss: 48.7821, Reward: -26890
  Episode 2, Step 530, Buffer Size: 1530, Avg Loss: 47.1224, Reward: -27977
  Episode 2, Step 540, Buffer Size: 1540, Avg Loss: 47.1407, Reward: -28448
  Episode 2, Step 550, Buffer Size: 1550, Avg Loss: 47.7205, Reward: -29392
  Episode 2, Step 560, Buffer Size: 1560, Avg Loss: 49.3499, Reward: -30050
  Episode 2, Step 570, Buffer Size: 1570, Avg Loss: 47.7669, Reward: -30301
  Episode 2, Step 580, Buffer Size: 1580, Avg Loss: 50.5403, Reward: -30970
  Episode 2, Step 590, Buffer Size: 1590, Avg Loss: 50.2795, Reward: -31848
  Episode 2, Step 600, Buffer Size: 1600, Avg Loss: 47.0882, Reward: -32594
  Episode 2, Step 610, Buffer Size: 1610, Avg Loss: 46.8343, Reward: -33351
  Episode 2, Step 620, Buffer Size: 1620, Avg Loss: 49.2572, Reward: -33613
  Episode 2, Step 630, Buffer Size: 1630, Avg Loss: 50.8645, Reward: -33831
  Episode 2, Step 640, Buffer Size: 1640, Avg Loss: 46.4166, Reward: -34368
  Episode 2, Step 650, Buffer Size: 1650, Avg Loss: 50.5944, Reward: -34597
  Episode 2, Step 660, Buffer Size: 1660, Avg Loss: 50.2506, Reward: -35167
